n_ActionID,c_Competition,n_MatchID,c_HomeTeam,c_AwayTeam,n_HomeGoals,n_AwayGoals,d_Date,c_Action,c_Period,n_StartTime,n_Endtime,n_HomeOrAway,n_TeamID,c_Team,n_personid,c_person,c_Function,n_ShirtNr,c_ActionReason,c_actionInfo,n_Subpersonid,c_Subperson
27729966,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Corner,Second half,5326000,5326000,1,4034,Chelsea,681805,Willian,NULL,NULL,NULL,Right foot,0,NULL
27729946,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Free kick,Second half,5241000,5241000,1,4007,Arsenal,828604,Bernd Leno,NULL,NULL,NULL,Right foot,0,NULL
27729941,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Goal kick,Second half,5288000,5288000,-1,4075,Liverpool,774899,Adrián,NULL,NULL,NULL,NULL,0,NULL
27729922,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Foul committed,Second half,5182000,5182000,-1,4010,Aston Villa,694819,Ahmed Al-Muhamadi,NULL,NULL,Rough play,NULL,1545963,Mattéo Guendouzi
27729933,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Shot wide,Second half,5257000,5257000,1,4034,Chelsea,918675,Michy Batshuayi,NULL,NULL,NULL,Header,0,NULL
27729910,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Shot wide,Second half,5157000,5157000,-1,4010,Aston Villa,1080366,John McGinn,NULL,NULL,NULL,Left foot,0,NULL
27729782,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Foul committed,Second half,5021000,5021000,1,4034,Chelsea,1496606,Mason Mount,NULL,NULL,Rough play,NULL,664067,Georginio Wijnaldum
27729901,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Corner,Second half,5153000,5153000,-1,4010,Aston Villa,1028610,Jack Grealish,NULL,NULL,NULL,Right foot,0,NULL
27729792,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Yellow,Second half,5039000,5039000,1,4034,Chelsea,908668,Mateo Kovacic,NULL,NULL,Verbal misconduct,NULL,0,NULL
27723975,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Substitution,Second half,5144000,NULL,-1,4010,Aston Villa,653868,Henri Lansbury,Midfielder,8,NULL,NULL,1294746,Anwar El Ghazi
27723933,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Line-up,Start,NULL,5144000,-1,4010,Aston Villa,1294746,Anwar El Ghazi,Forward,21,NULL,NULL,0,NULL
27723977,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Substitution,Second half,5070000,NULL,-1,4010,Aston Villa,875846,Conor Hourihane,Midfielder,14,NULL,NULL,1210500,Marvelous Nakamba
27723927,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Line-up,Start,NULL,5070000,-1,4010,Aston Villa,1210500,Marvelous Nakamba,Midfielder,11,NULL,NULL,0,NULL
27729847,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Kick-off,Second half,5094000,5094000,-1,4010,Aston Villa,1028610,Jack Grealish,NULL,NULL,NULL,NULL,0,NULL
27729843,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Foul committed,Second half,5123000,5123000,-1,4075,Liverpool,450636,James Milner,NULL,NULL,Tackle,NULL,953148,Kurt Zouma
27729870,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Free kick,Second half,5154000,5154000,1,4034,Chelsea,1496606,Mason Mount,NULL,NULL,NULL,Right foot,0,NULL
27729863,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Yellow,Second half,5086000,5086000,1,4007,Arsenal,1332842,Nicolas Pépé,NULL,NULL,Misconduct to game,NULL,0,NULL
27729849,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Yellow,Second half,5129000,5129000,-1,4075,Liverpool,450636,James Milner,NULL,NULL,Tackle,NULL,0,NULL
